bag_name,node,scenario,d_estimated_m,d_depth_m,error_m,good_20cm
bag_P1_S1.2_01,yolo,S1.2,4.44,7.024722506316216,2.584722506316216,False
bag_P1_S1.2_01,yolo,S1.2,4.44,7.990466449895553,3.550466449895553,False
bag_P1_S1.2_01,yolo,S1.2,4.44,7.990466449895553,3.550466449895553,False
bag_P1_S1.2_01,yolo,S1.2,4.44,7.433426126340527,2.993426126340527,False
bag_P1_S1.2_01,yolo,S1.2,4.44,7.433426126340527,2.993426126340527,False
bag_P1_S1.2_01,yolo,S1.2,4.44,7.702091485529136,3.262091485529136,False
bag_P1_S1.2_01,yolo,S1.2,4.44,7.702091485529136,3.262091485529136,False
bag_P1_S1.2_01,yolo,S1.2,4.44,6.658548837906919,2.2185488379069183,False
bag_P1_S1.2_01,yolo,S1.2,4.44,6.658548837906919,2.2185488379069183,False
bag_P1_S1.2_01,yolo,S1.2,4.44,6.874311315769774,2.434311315769774,False
bag_P1_S1.2_01,yolo,S1.2,4.44,6.874311315769774,2.434311315769774,False
bag_P1_S1.2_01,yolo,S1.2,4.44,7.024722506316216,2.584722506316216,False
bag_P1_S1.2_01,yolo,S1.2,4.44,7.024722506316216,2.584722506316216,False
bag_P1_S1.2_01,yolo,S1.2,4.44,7.610807626619827,3.170807626619826,False
bag_P1_S1.2_01,yolo,S1.2,4.44,7.610807626619827,3.170807626619826,False
bag_P1_S1.2_01,yolo,S1.2,4.44,7.565684318919104,3.1256843189191033,False
bag_P1_S1.2_01,yolo,S1.2,4.44,7.565684318919104,3.1256843189191033,False
bag_P1_S1.2_01,yolo,S1.2,4.44,6.948998289289063,2.508998289289063,False
bag_P1_S1.2_01,yolo,S1.2,4.44,6.948998289289063,2.508998289289063,False
bag_P1_S1.2_01,yolo,S1.2,4.44,6.267479841412589,1.8274798414125888,False
bag_P1_S1.2_01,yolo,S1.2,4.44,6.267479841412589,1.8274798414125888,False
bag_P1_S1.2_01,yolo,S1.2,4.44,7.520561011218381,3.0805610112183803,False
bag_P1_S1.2_01,yolo,S1.2,4.44,7.520561011218381,3.0805610112183803,False
bag_P1_S1.2_01,yolo,S1.2,4.44,7.1823948960498045,2.742394896049804,False
bag_P1_S1.2_01,yolo,S1.2,4.44,7.1823948960498045,2.742394896049804,False
bag_P1_S1.2_01,yolo,S1.2,4.44,7.990466449895553,3.550466449895553,False
bag_P1_S1.2_01,yolo,S1.2,4.44,7.990466449895553,3.550466449895553,False
bag_P1_S1.2_01,yolo,S1.2,4.44,6.5900858200669115,2.150085820066911,False
bag_P1_S1.2_01,yolo,S1.2,4.44,6.5900858200669115,2.150085820066911,False
bag_P1_S1.2_01,yolo,S1.2,4.44,7.264343068756239,2.8243430687562388,False
bag_P1_S1.2_01,yolo,S1.2,4.44,7.264343068756239,2.8243430687562388,False
bag_P1_S1.2_01,yolo,S1.2,4.44,6.7290868373947506,2.28908683739475,False
bag_P1_S1.2_01,yolo,S1.2,4.44,6.7290868373947506,2.28908683739475,False
bag_P1_S1.2_01,yolo,S1.2,4.44,7.264343068756239,2.8243430687562388,False
bag_P1_S1.2_01,yolo,S1.2,4.44,7.264343068756239,2.8243430687562388,False
bag_P1_S1.2_01,yolo,S1.2,4.44,7.433426126340527,2.993426126340527,False
bag_P1_S1.2_01,yolo,S1.2,4.44,7.433426126340527,2.993426126340527,False
bag_P1_S1.2_01,yolo,S1.2,4.44,7.1823948960498045,2.742394896049804,False
bag_P1_S1.2_01,yolo,S1.2,4.44,7.1823948960498045,2.742394896049804,False
bag_P1_S1.2_01,yolo,S1.2,4.44,7.610807626619827,3.170807626619826,False
bag_P1_S1.2_01,yolo,S1.2,4.44,7.610807626619827,3.170807626619826,False
bag_P1_S1.2_01,yolo,S1.2,4.44,7.6564498033905295,3.216449803390529,False
bag_P1_S1.2_01,yolo,S1.2,4.44,7.6564498033905295,3.216449803390529,False
bag_P1_S1.2_01,yolo,S1.2,4.44,6.874311315769774,2.434311315769774,False
bag_P1_S1.2_01,yolo,S1.2,4.44,6.874311315769774,2.434311315769774,False
bag_P1_S1.2_01,yolo,S1.2,4.44,7.702091485529136,3.262091485529136,False
bag_P1_S1.2_01,yolo,S1.2,4.44,7.702091485529136,3.262091485529136,False
bag_P1_S1.2_01,yolo,S1.2,4.44,6.392995209241902,1.9529952092419016,False
bag_P1_S1.2_01,yolo,S1.2,4.44,6.392995209241902,1.9529952092419016,False
bag_P1_S1.2_01,yolo,S1.2,4.44,8.195855503415572,3.755855503415572,False
bag_P1_S1.2_01,yolo,S1.2,4.44,8.195855503415572,3.755855503415572,False
bag_P1_S1.2_01,yolo,S1.2,4.44,7.1799686725245015,2.739968672524501,False
bag_P1_S1.2_01,yolo,S1.2,4.44,7.1670392868321,2.7270392868321,False
bag_P1_S1.2_01,yolo,S1.2,4.44,7.643943256934354,3.2039432569343536,False
bag_P1_S1.2_01,yolo,S1.2,4.44,7.359104484577141,2.919104484577141,False
bag_P1_S1.2_01,yolo,S1.2,4.44,7.015578229627575,2.575578229627575,False
bag_P1_S1.2_01,yolo,S1.2,4.42,7.377633795338555,2.9576337953385554,False
bag_P1_S1.2_01,yolo,S1.2,4.39,6.748311516762292,2.358311516762292,False
bag_P1_S1.2_01,yolo,S1.2,4.36,6.746994390314529,2.3869943903145288,False
bag_P1_S1.2_01,yolo,S1.2,4.26,8.128709467440773,3.868709467440773,False
bag_P1_S1.2_01,yolo,S1.2,4.08,8.123311152561214,4.043311152561214,False
bag_P1_S1.2_01,yolo,S1.2,4.08,4.729756285704038,0.6497562857040382,False
bag_P1_S1.2_01,yolo,S1.2,4.04,4.696712084959483,0.6567120849594827,False
bag_P1_S1.2_01,yolo,S1.2,3.57,5.607013948838086,2.037013948838086,False
